"AttributeId","ResName"
"119000001","/Game/UI/Sprite/UI_Sprite_Comon/Textures/UI_Sprite_Comon.UI_Sprite_Comon"
"119000002","/Game/UI/Sprite/UI_Sprite_Mp/Textures/UI_Sprite_Mp02.UI_Sprite_Mp02"
"119000003","/Game/UI/Sprite/UI_Sprite_NewGuide02/Textures/UI_Sprite_NewGuide02.UI_Sprite_NewGuide02"
"119000004","/Game/UI/Sprite/UI_Sprite_Comon_Icon/Textures/UI_Sprite_Comon_Icon"
"119000005","/Game/UI/Sprite/UI_Sprite_NewGuide/Textures/UI_Sprite_NewGuide.UI_Sprite_NewGuide"
"119000006","/Game/UI/Texture/UI_Guide/new_mask.new_mask"
"119000007","/Game/UI/Texture/UI_Mp/T_Button_Joystickmoveicon.T_Button_Joystickmoveicon"
"119000008","/Game/UI/Texture/NpcBodyImage/T_Image_NPC_NewSp_GuiFu.T_Image_NPC_NewSp_GuiFu"
"119000009","/Game/UI/Texture/Title/T_Image_Title_Test02.T_Image_Title_Test02"
"119000010","/Game/Blueprint/FaithCharacterBotBP.FaithCharacterBotBP_C"
"119000011","/Game/Blueprint/FaithCharacterDropBoxBP.FaithCharacterDropBoxBP_C"
"119000012","/Game/Blueprint/FaithGameModeBP.FaithGameModeBP_C"
"119000013","/Game/UI/FaithUIWidgetBP.FaithUIWidgetBP_C"
"119000014","/Game/UI/UIMPWidget.UIMPWidget_C"
"119000015","/Game/UI/Materials/M_GrayImage.M_GrayImage"
"119000016","/Game/UI/UIItemInfoWidget.UIItemInfoWidget_C"
"119000017","/Game/UI/UIItemMiniInfoWidget.UIItemMiniInfoWidget_C"
"119000018","/Game/UI/UIUnitHeadNpcWidget.UIUnitHeadNpcWidget_C"
"119000019","/Game/UI/UIUnitHeadMonsterWidget.UIUnitHeadMonsterWidget_C"
"119000173","/Game/Model/EmptyAsset.EmptyAsset"
"119000174","/Game/Effect/New/Particles/P_WK_Anshazhe_Huohuan_2.P_WK_Anshazhe_Huohuan_2"
"119000175","/Game/Effect/New/Particles/P_Anshazhe_Yingxi_4.P_Anshazhe_Yingxi_4"
"119001001","/Game/Model/Item/GoldCoin/Animations/AB_Gold.AB_Gold_C"
"119001002","/Game/Model/Item/GoldCoin/Mesh/SM_GoldCoin_Skeleton.SM_GoldCoin_Skeleton"
"119001003","/Game/Model/Item/GoldCoin/Mesh/SM_GoldCoin.SM_GoldCoin"
"119001004","/Game/Model/Item/GoldCoin/Animations/AM_Coin_Born.AM_Coin_Born"
"119001005","/Game/Model/Item/GoldCoin/Animations/AM_Coin_Dead.AM_Coin_Dead"
"119001006","/Game/Model/Item/GoldCoin/Animations/AM_Coin_Fly.AM_Coin_Fly"
