"AttributeId","WidgetName","WidgetRes","ShowMode","IsGcWhenClose","IsShowJoyStick","IsCacheWhenClose","FuncUnlockReqId","CloseSelfWhenTriggerGuide","Zorder","IsCloseOther","IsMainWidget","ExceptWidgetWhenCloseOther","AdapterScale","LeftAdapterWidgetTagArr","LeftAdapterWidgetOffsetArr","RightAdapterWidgetTagArr","RightAdapterWidgetOffsetArr","IsNeedResetJoyStick","IsResponseBackBtn"
"92010001","UILoginWidget","/Game/UI/UILoginWidget.UILoginWidget_C","0","1","0","0","","1","0","1","0","","1","","","","","0","0"
"92010002","UILoginServerListWidget","/Game/UI/UILoginServerListWidget.UILoginServerListWidget_C","0","0","0","0","","1","20","1","0","","1","","","","","0","1"
"92010003","UILoginServerRecommendWidget","/Game/UI/UILoginServerRecommendWidget.UILoginServerRecommendWidget_C","0","0","0","0","","1","0","1","0","","0","","","","","0","0"
"92010004","UILoginServerWidget","/Game/UI/UILoginServerWidget.UILoginServerWidget_C","0","0","0","0","","1","20","1","0","","0","","","","","0","0"
"92010005","UILoginAnnouncementWidget","/Game/UI/UILoginAnnouncementWidget.UILoginAnnouncementWidget_C","0","0","0","0","","1","20","1","0","","1","","","","","0","1"
"92010006","UILoginServer01Widget","/Game/UI/UILoginServer01Widget.UILoginServer01Widget_C","0","0","0","0","","1","0","1","0","","0","","","","","0","0"
"92010007","UILoginServer02Widget","/Game/UI/UILoginServer02Widget.UILoginServer02Widget_C","0","0","0","0","","1","0","1","0","","0","","","","","0","0"
"92010008","UILoginServer03Widget","/Game/UI/UILoginServer03Widget.UILoginServer03Widget_C","0","0","0","0","","1","0","1","0","","0","","","","","0","0"
"92010009","UILoginServer04Widget","/Game/UI/UILoginServer04Widget.UILoginServer04Widget_C","0","0","0","0","","1","0","1","0","","0","","","","","0","0"
"92010010","UILoginServer05Widget","/Game/UI/UILoginServer05Widget.UILoginServer05Widget_C","0","0","0","0","","1","0","1","0","","0","","","","","0","0"
"92010011","UILoginServerSelfWidget","/Game/UI/UILoginServerSelfWidget.UILoginServerSelfWidget_C","0","0","0","0","","1","0","1","0","","0","","","","","0","0"
"92010012","UILoginSettingWidget","/Game/UI/UILoginSettingWidget.UILoginSettingWidget_C","0","0","0","0","","1","20","1","0","","1","","","","","0","1"
"92010013","UICgWidget","/Game/UI/UICgWidget.UICgWidget_C","0","0","0","0","","1","21","1","0","","1","","","","","0","0"
"92010014","UILoginQueueWidget","/Game/UI/UILoginQueueWidget.UILoginQueueWidget_C","1","0","0","0","","0","58","1","0","","1","","","","","0","0"
"92020001","UiLoadingWidget","/Game/UI/UiLoadingWidget.UiLoadingWidget_C","0","0","0","0","","1","0","1","0","","1","","","","","0","0"
"92020002","UIClientDisConnectWidget","/Game/UI/UIClientDisConnectWidget.UIClientDisConnectWidget_C","1","0","0","0","","0","59","1","0","","1","","","","","0","0"
"92020003","UIWorldLoadingWidget","/Game/UI/UIWorldLoadingWidget.UIWorldLoadingWidget_C","0","0","0","0","","1","0","1","1","","0","","","","","0","0"
"92020004","UIReconnectWidget","/Game/UI/UIReconnectWidget.UIReconnectWidget_C","1","0","0","0","","0","59","1","0","","1","","","","","0","0"
"92020005","UIMessageBackWidget","/Game/UI/UIMessageBackWidget.UIMessageBackWidget_C","1","0","0","0","","0","58","1","0","","1","","","","","0","0"
"92030001","UICreateRoleWidget","/Game/UI/UICreateRoleWidget.UICreateRoleWidget_C","0","0","0","0","","1","0","1","0","","0","","","","","0","1"
"92040001","UIChooseRoleWidget","/Game/UI/UIChooseRoleWidget.UIChooseRoleWidget_C","0","0","0","0","","1","0","1","0","","0","","","","","0","1"
"92040002","UIChooseRoleBtnWidget","/Game/UI/UIChooseRoleBtnWidget.UIChooseRoleBtnWidget_C","0","0","0","0","","1","20","1","0","","0","","","","","0","0"
"92050001","UIMPWidget","/Game/UI/UIMPWidget.UIMPWidget_C","0","1","0","1","","0","0","1","0","","0","(""UIMissionTrackWidgetTag"",""UIRaidTrackWidget"",""UIHorizontalBoxTipTag"",""UIMainLTWidgetLeft"",""UIPowerUpPromptWidgeteft"")","(0,0,48,52,52)","(""UIOperateWidgetTag"",""UIFuncUnlockTipWidgetPanelTag"",""UIMessageTag"",""UIRightArrowTag"",""UIFightPanelWidgetTag"",""UIMapNameLineTag"")","(0,0,0,0,0,48)","0","0"
"92050002","UIOpeaateMBWidget","/Game/UI/UIOpeaateMBWidget.UIOpeaateMBWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050003","UIMainRDWidget","/Game/UI/UIMainRDWidget.UIMainRDWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050004","UINpcInfoWidget","/Game/UI/UINpcInfoWidget.UINpcInfoWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050005","UIMainLTWidget","/Game/UI/UIMainLTWidget.UIMainLTWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050006","UIMainRTWidget","/Game/UI/UIMainRTWidget.UIMainRTWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050007","UIOperateWidget","/Game/UI/UIOperateWidget.UIOperateWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050008","UISkillUseWidget","/Game/UI/UISkillUseWidget.UISkillUseWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050009","UISystemSetMiniWidget","/Game/UI/UISystemSetMiniWidget.UISystemSetMiniWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050010","UISystemSettingsWidget","/Game/UI/UISystemSettingsWidget.UISystemSettingsWidget_C","0","0","0","0","","0","0","1","1","","0","","","","","0","1"
"92050011","UIChannelSetWidget","/Game/UI/UIChannelSetWidget.UIChannelSetWidget_C","0","0","0","0","","0","0","1","1","","0","","","","","0","1"
"92050012","UIRiderChangeWidget","/Game/UI/UIRiderChangeWidget.UIRiderChangeWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050013","UIPkModeWidget","/Game/UI/UIPkModeWidget.UIPkModeWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050014","UISafePromptWidget","/Game/UI/UISafePromptWidget.UISafePromptWidget_C","0","0","0","0","","0","40","1","0","","0","","","","","0","0"
"92050015","UIWelfareQuickGetWidget","/Game/UI/UIWelfareQuickGetWidget.UIWelfareQuickGetWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050016","RaidSmallMapWidget","/Game/UI/RaidSmallMapWidget.RaidSmallMapWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050017","SmallMapWidget","/Game/UI/SmallMapWidget.SmallMapWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050018","UISkillPointWalkWidget","/Game/UI/UISkillPointWalkWidget.UISkillPointWalkWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050019","UISkillPointWorldRideWidget","/Game/UI/UISkillPointWorldRideWidget.UISkillPointWorldRideWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050020","UISkillPointFuRideWidget","/Game/UI/UISkillPointFuRideWidget.UISkillPointFuRideWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050021","UISkillPointWorldFlyWidget","/Game/UI/UISkillPointWorldFlyWidget.UISkillPointWorldFlyWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050022","UISkillPointFuFlyWidget","/Game/UI/UISkillPointFuFlyWidget.UISkillPointFuFlyWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050023","UIActiveTip","/Game/UI/UIActiveTip.UIActiveTip_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050024","UIActiveTipManagerWidget","/Game/UI/UIActiveTipManagerWidget.UIActiveTipManagerWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050025","UIMainRBMniWidget","/Game/UI/UIMainRBMniWidget.UIMainRBMniWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050026","UISkillPointWingWalkWidget","/Game/UI/UISkillPointWingWalkWidget.UISkillPointWingWalkWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050027","UISkillPointWingFlyWidget","/Game/UI/UISkillPointWingFlyWidget.UISkillPointWingFlyWidget_C","0","0","0","0","","0","20","1","0","","0","","","","","0","0"
"92050028","UIVoiceRecordingProgress","/Game/UI/UIVoiceRecordingProgress.UIVoiceRecordingProgress_C","1","0","0","0","","0","40","1","0","","0","","","","","0","0"
"92050029","UIPotionWidget","/Game/UI/UIPotionWidget.UIPotionWidget_C","0","0","0","0","","1","20","1","0","","0","","","","","0","0"
"92050030","UIMissionFireWidget","/Game/UI/UIMissionFireWidget.UIMissionFireWidget_C","0","0","0","0","","0","20","0","0","","","","","","","0","0"
"92050031","UIPowerSavingModeWidget","/Game/UI/UIPowerSavingModeWidget.UIPowerSavingModeWidget_C","0","0","0","0","","1","100","0","0","","1","","","","","0","0"
"92050032","UIEmptyWidget","/Game/UI/UIEmptyWidget.UIEmptyWidget_C","0","1","0","0","","1","0","1","0","","0","","","","","0","0"
"92050033","UIAccountSettingWidget","/Game/UI/UIAccountSettingWidget.UIAccountSettingWidget_C","0","0","0","0","","0","0","1","1","","0","","","","","0","1"
"92060001","UIRoleInfoListWidget","/Game/UI/UIRoleInfoListWidget.UIRoleInfoListWidget_C","0","0","0","0","","1","0","1","1","","0","","","","","0","1"
"92060002","UIRoleInfoWidget","/Game/UI/UIRoleInfoWidget.UIRoleInfoWidget_C","0","1","0","0","","1","20","1","1","","0","","","","","0","1"
"92060003","UIItemWidget","/Game/UI/UIItemWidget.UIItemWidget_C","0","0","0","0","","1","20","1","1","","0","","","","","0","1"
"92060004","UiSkillWidget","/Game/UI/UiSkillWidget.UiSkillWidget_C","0","1","0","0","117000023","1","20","1","1","","0","","","","","0","1"
"92060005","UITalentWidget","/Game/UI/UITalentWidget.UITalentWidget_C","0","1","0","0","117000072","1","20","1","1","","0","","","","","0","1"
"92060006","UISkillListWidget","/Game/UI/UISkillListWidget.UISkillListWidget_C","0","0","0","0","117000023","1","0","1","1","","0","","","","","0","1"
"92060007","UIFashionWidget","/Game/UI/UIFashionWidget.UIFashionWidget_C","0","0","0","0","","1","20","1","1","","0","","","","","0","1"
"92060008","UIFashionInfoWidget","/Game/UI/UIFashionInfoWidget.UIFashionInfoWidget_C","0","0","0","0","","1","25","1","0","","0","","","","","0","1"
"92060009","UIServerExpLevelWidget","/Game/UI/UIServerExpLevelWidget.UIServerExpLevelWidget_C","0","0","0","0","","1","21","1","0","","0","","","","","0","0"
"92060010","UIStorageWidget","/Game/UI/UIStorageWidget.UIStorageWidget_C","0","0","0","0","","1","20","1","1","","0","","","","","0","1"
"92060011","UIFashionNewWidget","/Game/UI/UIFashionNewWidget.UIFashionNewWidget_C","0","0","0","0","","1","20","1","1","","0","","","","","0","1"
"92060012","UIFashionInWidget","/Game/UI/UIFashionInWidget.UIFashionInWidget_C","0","0","0","0","","1","20","1","1","","0","","","","","0","0"
"92060013","UIFashionInBtnWidget","/Game/UI/UIFashionInBtnWidget.UIFashionInBtnWidget_C","0","0","0","0","","1","20","1","0","","0","","","","","0","0"
"92060014","UIFashionStarInfoWidget","/Game/UI/UIFashionStarInfoWidget.UIFashionStarInfoWidget_C","0","0","0","0","","1","59","1","0","","0","","","","","0","1"
"92060015","UIItemSkyWidget","/Game/UI/UIItemSkyWidget.UIItemSkyWidget_C","0","1","0","0","","1","20","1","1","","0","","","","","0","1"
"92060016","UIRoleInfoSetWidget","/Game/UI/UIRoleInfoSetWidget.UIRoleInfoSetWidget_C","0","0","0","0","","1","20","1","0","","1","","","","","0","1"
