"AttributeId","UseLua"
"10201","0"
"10353","0"
"10354","0"
"10355","0"
"10362","0"
"10369","0"
"10370","0"
"10371","0"
"10373","0"
"10374","0"
"10376","0"
"10487","0"
"10488","0"
"10493","0"
"10503","0"
"10504","0"
"10509","0"
"10511","0"
"10521","0"
"10522","0"
"10524","0"
"10528","0"
"10529","0"
"10551","0"
"10553","0"
"10556","0"
"10558","0"
"10740","0"
"10743","0"
"10746","0"
"10747","0"
"10748","0"
"10750","0"
"10752","0"
"10754","0"
"11502","0"
"11503","0"
"11504","0"
"11630","0"
"11631","0"
"11634","0"
"11640","0"
"11641","0"
"11643","0"
"11649","0"
"11650","0"
"11651","0"
"11653","0"
"11654","0"
"11655","0"
"11656","0"
"11657","0"
"11659","0"
"12002","0"
"12067","0"
"12068","0"
"12070","0"
"12072","0"
"12074","0"
"12076","0"
"12078","0"
"12080","0"
"12082","0"
"12083","0"
"12102","0"
"12213","0"
"12401","0"
"12402","0"
"12404","0"
"12506","0"
"12604","5"
"12612","0"
"13640","0"
"13641","0"
"13643","0"
"13646","0"
"13648","0"
"13651","0"
"13652","0"
"13655","0"
"13656","0"
"13657","0"
"13714","0"
"13717","0"
"13805","0"
"13806","0"
"13808","0"
"14302","0"
"14357","0"
"14403","0"
"14404","0"
"14601","0"
"14602","0"
"14603","0"
"14604","0"
"14605","0"
"14606","0"
"14700","0"
"14701","0"
"14702","0"
"14703","0"
"14704","0"
"14707","0"
"14710","0"
"14800","0"
"14802","0"
"14803","0"
"14901","0"
"14903","0"
"14904","0"
"14906","0"
"14907","0"
"14909","0"
"14910","0"
"15103","0"
"15105","0"
"15106","0"
"15107","0"
"15109","0"
"15300","0"
"15302","0"
"15304","0"
"15306","0"
"15307","0"
"15402","0"
"15403","0"
"15501","0"
"15503","0"
"15504","0"
"15507","0"
"15509","0"
"15603","0"
"15607","0"
"15608","0"
"15801","0"
"15803","0"
"11304","5"
"10749","5"
"12403","5"
"10901","5"
"14400","5"
"14401","5"
"14402","5"
"10730","5"
"10745","5"
"11509","5"
"10458","5"
"11101","5"
"10708","5"
"10742","5"
"10744","5"
"10441","5"
"13201","5"
"11501","5"
"10343","0"
"10344","0"
"10378","0"
"10379","0"
"15502","5"
"15505","5"
"15508","5"
"11402","5"
"10380","0"
"10525","5"
"10739","5"
"10741","5"
"13807","5"
"10502","5"
"11004","5"
"10751","5"
"13001","5"
"13003","5"
"12501","5"
"11652","5"
"11206","5"
"10753","5"
"10004","5"
"15303","5"
"15301","5"
"15800","5"
"15802","5"
"10527","5"
"13650","5"
"13647","5"
"13649","5"
"13639","5"
"14007","5"
"13803","5"
"10320","5"
"10381","0"
"12106","0"
"12107","0"
"12085","0"
"11665","0"
"11667","0"
"15901","0"
"15902","0"
"15903","0"
"15904","0"
"11669","0"
"15906","0"
"15907","0"
"11660","0"
"16100","0"
"16102","0"
"16104","0"
"16106","0"
"16107","0"
"16108","0"
"16109","0"
"16110","0"
"16111","0"
"16112","0"
"16114","0"
"16117","0"
"16118","0"
"16119","0"
"11661","0"
"16120","0"
"16121","0"
"10756","0"
"16200","0"
"16202","0"
"16203","0"
"16205","0"
"16212","0"
"10539","0"
"11901","5"
"11903","5"
"11905","5"
"11907","5"
"11910","5"
"11912","5"
"13701","5"
"12553","5"
"12555","5"
"11632","5"
"11605","5"
"11604","5"
"13706","5"
"13708","5"
"13710","5"
"13712","5"
"15610","0"
"16300","0"
"16301","0"
"16303","0"
"10561","0"
"10563","0"
"10566","0"
"10568","0"
"16501","0"
"16506","0"
"16507","0"
"16508","0"
"16510","0"
"16511","0"
"16512","0"
"16513","0"
"16515","0"
"16517","0"
"16521","0"
"16522","0"
"16540","0"
"16531","0"
"16532","0"
"16533","0"
"16551","0"
"16552","0"
"14359","0"
"14712","0"
"14714","0"
"14715","0"
"14716","0"
"14717","0"
"14719","0"
