"AttributeId","Type","Series","ChangeLevel","Level","MaxLevel","NextLevelId","GSAddValue","IsUseCreate","ClassBranch","ClassType","Ratio","PlusValue","BeginSkill","NextSkill","NextSkillTime","PublicTime","LearnConditionLevel","LearnConfitionMoney","LearnConfitionItem","MaxMasteryNum","ActiveType","TargetType","CastType","NeedTarget","TargetDistance","TargetAngle","MaxDistance","AddDistance","IsAngleBullet","ConsumeMagic","ConsumeEnergy","ChannelTime","SpellTime","InWar","InWarTime","SelfCd","AutoReleasePriority","CastTimeAxle","CastEffectBPIdx","AvoidCrowd","UseConfig","MoveLength","MoveDuration","MoveInitSpeed","LengthCorrection","CastTraceTargetLocation","CastTraceTargetRotation","BeginBuff","TargetBuff","FriendBuff","SelfBuff","PassiveBuff","BuffPrecent","SaveType","ResourceId","MissileId","NotChangePublicTime","InvalidMapTypeArray","ValidMapTypeArray","GroupIds","GroupCdTimes","TriggerGuide","IsNotSyncRotation","IsClientDriver","StopAutoFight","StopTime","CriticalStopTime","StopScale","IsShack","LateFilmTime","LateFilmTimeIn","LateFilmTimeOut","LateFilmTint","ChromaticAberation","ExposureBias","BreakSkillArray","CanUseNoMove","CanHurtNoMove","CameraVague","IsAttack","DecTime"
"13010001","0","10001","1","","1","","","1","0","1","1","0","13010001","13010201","-1","0.66","1","","","80","0","0","3","1","10000","360","300","300","0","0","","0.7","0","","3.7","0","0","(0.35)","(0,0)","0","","","","","","0","0","(0,0)","(10011001,0)","","(0,0)","","","1","14010001","(18010001)","","","","(0,0)","(0,0)","","","","0","0.05","0.1","0.05","1","0.3","","0.2","","0.5","0.3","","","","","",""
"13010002","0","10001","2","","1","","","0","0","1","1","0","13010002","13010202","-1","0.4","1","","","80","0","0","3","1","10000","360","2200","300","0","0","","1.06","0","","4.06","0","0","(0.26)","(0,0)","0","","","","","","0","0","(0,0)","(10011001,0)","","(0,0)","","","1","14010002","(18000005)","","","","(0,0)","(0,0)","","","","0","0.1","0.15","0.05","1","0.3","","0.2","","0.5","0.3","","","","","",""
"13010201","0","10001","1","","1","","","1","0","1","1","0","13010001","13010401","5","0.66","1","","","80","0","0","3","1","10000","360","300","300","0","0","","0.7","0","","3.7","0","0","(0.42)","(0,0)","0","","","","","","0","0","(0,0)","(10011001,0)","","(0,0)","","","1","14010201","(18010001)","","","","(0,0)","(0,0)","","","","0","0.05","0.1","0.05","1","0.3","","0.2","","0.5","0.3","","","","","",""
"13010202","0","10001","2","","1","","","0","0","1","1","0","13010002","13010402","5","0.467","1","","","80","0","0","3","1","10000","360","2200","300","0","0","","1.15","0","","4.15","0","0","(0.32)","(0,0)","0","","","","","","0","0","(0,0)","(10011001,0)","","(0,0)","","","1","14010202","(18000006)","","","","(0,0)","(0,0)","","","","0","0.1","0.15","0.05","1","0.3","","0.2","","0.5","0.3","","","","","",""
"13010401","0","10001","1","","1","","","1","0","1","1","0","13010001","13010001","5","0.9","1","","","80","0","0","3","1","10000","360","300","300","0","0","","0.95","0","","3.95","0","0","(0.35)","(0,0)","0","","","","","","0","0","(0,0)","(10011001,0)","","(0,0)","","","1","14010401","(18010002)","","","","(0,0)","(0,0)","","","","0","0.1","0.2","0.05","1","0.3","","0.2","","0.5","0.3","","","","","",""
"13010402","0","10001","2","","1","","","0","0","1","1","0","13010002","13010002","5","0.667","1","","","80","0","0","3","1","10000","360","2200","300","0","0","","1.33","0","","4.33","0","0","(0.51)","(0,0)","0","","","","","","0","0","(0,0)","(10011001,0)","","(0,0)","","","1","14010402","(18000007)","","","","(0,0)","(0,0)","","","","0","0.1","0.2","0.05","1","0.3","","0.2","","0.5","0.3","","","","","",""
"13010601","0","10004","","","1","","","1","0","1","1","0","13010001","","-1","2.37","1","","","80","0","0","3","1","10000","360","400","300","0","0","","2.77","0","","5.77","0","0","(0.3)","(0,0)","0","","","","","","0","0","(0,0)","(10011001)","","(0,0)","","","1","14010601","(18010001)","","","","(0,0)","(0,0)","","","","0","0","","0.05","1","0.3","","0.2","","0.5","0.3","","","","","",""
"13011001","1","11001","","1","999","","1000","0","0","1","1.2","0","13011001","","-1","0.66","1","","(31000301,1)","80","0","0","3","1","10000","360","900","300","0","0","","0.7","0","","3.7","5","1","(0.61,0.88,1.18)","(0,0,0)","0","","","","","","0","0","(0,0)","(10011101,0,0,0,0,10011101,0,0,0,0,10011101,0,0,0,0)","","(0,0)","","","1","14011001","(18011001,18011001,18011001)","","","","(0,0)","(0,0)","","","","0","0.02","0.04","0.1","1","0.3","","0.2","","0.5","0.3","","","","","",""
"13011002","1","11001","","2","999","","1100","0","0","1","1.205","0","13011002","","-1","0.66","1","","","80","0","0","3","1","10000","360","900","300","0","0","","0.7","0","","3.7","5","1","(0.61,0.88,1.18)","(0,0,0)","0","","","","","","0","0","(0,0)","(10011101,0,0,0,0,10011101,0,0,0,0,10011101,0,0,0,0)","","(0,0)","","","1","14011001","(18011001,18011001,18011001)","","","","(0,0)","(0,0)","","","","0","0.02","0.04","0.1","1","0.3","","0.2","","0.5","0.3","","","","","",""
"13011003","1","11001","","3","999","","1200","0","0","1","1.21","0","13011003","","-1","0.66","1","","","80","0","0","3","1","10000","360","900","300","0","0","","0.7","0","","3.7","5","1","(0.61,0.88,1.18)","(0,0,0)","0","","","","","","0","0","(0,0)","(10011101,0,0,0,0,10011101,0,0,0,0,10011101,0,0,0,0)","","(0,0)","","","1","14011001","(18011001,18011001,18011001)","","","","(0,0)","(0,0)","","","","0","0.02","0.04","0.1","1","0.3","","0.2","","0.5","0.3","","","","","",""
